Atleta,Pontos,Media,Preco atual,Preco var,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
36540,0.1,1.83,10.85,-1.19,1.6666666666666667,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,2.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
36540,0.9,1.6,10.61,-0.24,1.5,2.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.75,1.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0
36540,1.2,1.52,10.45,-0.16,1.2,1.6,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.6,2.2,0.0,0.6,0.0,0.4,0.0,0.0,0.0
36540,1.9,1.58,10.14,-0.31,1.1666666666666667,1.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,1.8333333333333333,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
36540,10.7,2.88,11.87,1.73,1.2857142857142858,1.4285714285714286,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.8571428571428571,1.7142857142857142,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0
36540,4.1,3.03,11.2,-0.67,1.25,1.375,0.0,0.0,0.375,0.625,0.0,0.0,0.0,1.0,1.625,0.0,0.375,0.0,0.375,0.0,0.0,0.0
36540,0.4,2.74,10.7,-0.5,1.1111111111111112,1.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.8888888888888888,1.4444444444444444,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
36540,10,3.47,12.69,1.99,1.0,1.2,0.1,0.0,0.3,0.6,0.0,0.0,0.0,0.8,1.3,0.0,0.3,0.0,0.4,0.0,0.0,0.0
36540,2.3,3.36,11.47,-1.22,0.9090909090909091,1.3636363636363635,0.09090909090909091,0.0,0.2727272727272727,0.5454545454545454,0.0,0.0,0.0,0.8181818181818182,1.4545454545454546,0.0,0.36363636363636365,0.0,0.45454545454545453,0.0,0.0,0.0
36540,7.1,3.67,12.55,1.08,0.8333333333333334,1.4166666666666667,0.08333333333333333,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.8333333333333334,1.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0
36540,6.6,3.9,12.72,0.17,0.8461538461538461,1.4615384615384615,0.07692307692307693,0.0,0.3076923076923077,0.46153846153846156,0.0,0.0,0.0,0.8461538461538461,1.2307692307692308,0.0,0.3076923076923077,0.0,0.5384615384615384,0.0,0.0,0.0
36540,7.3,4.14,13.15,0.43,0.7857142857142857,1.5,0.07142857142857142,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.9285714285714286,1.2142857142857142,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0
36540,1.8,3.98,12.04,-1.11,0.8,1.5333333333333334,0.06666666666666667,0.0,0.26666666666666666,0.4666666666666667,0.0,0.0,0.0,0.9333333333333333,1.2,0.0,0.26666666666666666,0.0,0.5333333333333333,0.0,0.0,0.0
36540,5,4.04,12.86,0.82,0.8125,1.5625,0.0625,0.0,0.25,0.4375,0.0,0.0,0.0,1.0625,1.125,0.0,0.25,0.0,0.5,0.0,0.0,0.0
36540,9.8,4.38,13.33,0.47,0.7647058823529411,1.5294117647058822,0.058823529411764705,0.0,0.23529411764705882,0.4117647058823529,0.0,0.0,0.0,1.1764705882352942,1.0588235294117647,0.0,0.23529411764705882,0.0,0.5294117647058824,0.0,0.0,0.0
36540,7.4,4.55,13.21,-0.12,0.7777777777777778,1.6666666666666667,0.05555555555555555,0.0,0.2222222222222222,0.3888888888888889,0.0,0.0,0.0,1.2777777777777777,1.2222222222222223,0.0,0.2222222222222222,0.0,0.5555555555555556,0.0,0.0,0.0
36540,10,4.84,13.82,0.61,0.7368421052631579,1.736842105263158,0.05263157894736842,0.0,0.21052631578947367,0.42105263157894735,0.0,0.0,0.0,1.5263157894736843,1.1578947368421053,0.0,0.21052631578947367,0.0,0.5263157894736842,0.0,0.0,0.0
36540,-2.5,4.47,11.69,-2.13,0.7,1.65,0.05,0.0,0.2,0.4,0.0,0.0,0.0,1.45,1.15,0.0,0.25,0.0,0.5,0.0,0.0,0.0
36540,4.8,4.49,12.76,1.07,0.6666666666666666,1.5714285714285714,0.047619047619047616,0.0,0.19047619047619047,0.47619047619047616,0.0,0.0,0.0,1.4761904761904763,1.0952380952380953,0.0,0.23809523809523808,0.0,0.47619047619047616,0.0,0.0,0.0
36612,5.3,5.3,20.68,-1.32,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,0.5,2.9,17.39,-3.29,2.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,0,1.93,16.64,-0.75,1.6666666666666667,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,5,2.7,17.42,0.78,1.25,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,2.4,2.64,16.71,-0.71,1.2,0.4,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,1.3,2.42,15.85,-0.86,1.1666666666666667,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,0,2.07,15.48,-0.37,1.0,0.7142857142857143,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,1.7,2.02,15.85,0.37,0.875,0.625,0.125,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,-3.1,1.45,14.67,-1.18,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
36612,2.2,1.52,14.87,0.2,1.0,0.7,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.5,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0
36612,-1.2,1.27,13.86,-1.01,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
